# sampling_rate=500
time,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.00000,0.000012,0.002987,-0.002741,-0.008906,-0.004547,-0.009916,0.000601,0.013402,-0.004922,-0.006205,0.004898,0.003569
0.00200,0.001101,-0.009250,-0.000275,0.006927,-0.013420,-0.004542,-0.018986,-0.012854,-0.018366,-0.002293,-0.012622,0.002757
0.00400,0.001662,-0.001761,-0.025132,-0.005439,-0.000440,0.001201,-0.015250,-0.004695,-0.009683,-0.007973,0.010715,-0.007986
0.00600,-0.000184,0.009006,-0.005782,-0.001195,0.001172,0.000740,-0.012173,0.000886,0.013741,-0.015299,0.008752,0.001328
0.00800,-0.006226,0.020221,0.007694,-0.012097,0.000836,0.005903,-0.001784,0.006995,-0.000462,0.006902,0.014596,-0.006578
0.01000,0.002267,-0.004362,0.001362,-0.012002,-0.005680,-0.001792,0.009117,0.011660,-0.012981,-0.007659,0.006733,-0.019700
0.01200,-0.004349,-0.000648,0.012678,0.006739,-0.003136,-0.003482,-0.002346,0.015484,-0.003975,-0.002692,0.003843,-0.000939
0.01400,-0.001643,-0.010761,0.000010,-0.004617,0.011820,0.006768,-0.000060,0.006974,-0.003042,0.010924,0.000315,0.006147
0.01600,-0.012532,0.003900,-0.016739,-0.020561,-0.002864,-0.008728,0.001848,0.022779,-0.007910,-0.005780,0.002476,0.005288
0.01800,-0.001340,-0.001572,0.007186,0.004966,-0.010133,-0.000486,0.000586,-0.010172,0.003056,-0.008062,0.010196,0.002330
0.02000,0.001364,-0.005368,-0.001007,-0.020237,-0.011088,0.003968,-0.021027,0.008881,-0.016952,0.008142,-0.007927,0.008238
0.02200,0.001828,-0.014772,0.012688,0.014132,-0.000409,-0.002366,-0.001314,-0.009295,0.011546,-0.004797,0.000069,-0.007441
0.02400,-0.005695,-0.012127,0.012786,-0.001852,0.009931,0.000540,-0.006633,-0.002769,-0.004992,0.000769,-0.003119,-0.002462
0.02600,-0.013173,-0.007364,0.016773,-0.007049,-0.010247,0.003814,0.014410,-0.014001,-0.001424,-0.005573,-0.016924,0.007931
0.02800,0.000425,0.001473,-0.007272,0.004185,-0.005076,-0.000954,-0.010720,-0.011581,0.014068,-0.004266,0.003655,0.000289
0.03000,-0.003705,-0.004267,0.006569,-0.003407,-0.001175,0.000731,0.012154,0.007427,0.004589,-0.004774,-0.013028,0.010167
0.03200,0.010418,-0.000540,0.005705,0.007400,0.008674,0.009756,-0.004142,0.015813,-0.011652,0.009537,0.005783,0.009452
0.03400,0.019591,0.015765,-0.011147,-0.017327,0.008553,-0.009574,0.000316,0.009102,-0.015573,-0.020123,0.003490,0.001205
0.03600,-0.001610,0.001360,-0.008283,-0.015601,-0.001260,-0.009107,-0.015969,0.005803,0.000302,0.005100,-0.008943,-0.005775
0.03800,-0.009096,-0.007837,0.002294,-0.008322,0.003990,0.004042,0.020744,-0.013140,0.009845,0.000197,0.000862,-0.013649
0.04000,-0.003660,0.008515,-0.000467,0.000293,-0.002455,0.012224,0.000303,-0.021175,-0.005904,-0.018539,-0.031460,-0.004406
0.04200,0.014324,0.001608,-0.011350,-0.009951,0.011781,0.002288,0.001024,0.000336,0.001452,0.009260,0.006633,0.003096
0.04400,-0.009393,0.006302,-0.006449,0.010369,-0.012213,-0.000630,0.000496,-0.012335,0.018338,0.015868,-0.003476,0.008701
0.04600,0.004870,-0.024890,0.002915,-0.001209,0.001352,-0.009989,-0.002098,-0.000830,0.013050,0.004665,0.001157,0.016318
0.04800,-0.004423,-0.002595,-0.017738,0.015070,0.010186,0.009982,0.007310,0.002096,0.003375,-0.001142,-0.000771,0.001616
0.05000,0.016295,0.006910,-0.000137,-0.006441,-0.005785,0.016874,0.005714,0.001711,-0.002191,-0.009655,0.000649,0.009855
0.05200,-0.002702,-0.000865,-0.001745,0.000423,-0.015343,-0.001473,-0.007871,0.009923,-0.006384,0.007264,0.016615,-0.001973
